Name,Price,Spread,RollLong,RollShort,PIP,PIPCost,MarginCost,Leverage,LotAmount,Commission
RENUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
KSMUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
NEARUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
AAVEUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
FILUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
RSRUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
LRCUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
MATICUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
OCEANUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
CVCUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
BELUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
CTKUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
AXSUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
ALPHAUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
ZENUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
SKLUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
GRTUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
1INCHUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
BTCBUSD,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
CHZUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
SANDUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
ANKRUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
BTSUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
LITUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
UNFIUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
REEFUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
RVNUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
SFPUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
XEMUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
BTCSTUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
COTIUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
CHRUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
MANAUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
ALICEUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
HBARUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
ONEUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
LINAUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
STMXUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
DENTUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
CELRUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
HOTUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
MTLUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
OGNUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
NKNUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
SCUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
DGBUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
1000SHIBUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
ICPUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
BAKEUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
GTCUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
ETHBUSD,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
BTCDOMUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
TLMUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
BNBBUSD,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
ADABUSD,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
XRPBUSD,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
IOTXUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
DOGEBUSD,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
AUDIOUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
RAYUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
