Name,Price,Spread,RollLong,RollShort,PIP,PIPCost,MarginCost,Leverage,LotAmount,Commission
BTCUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
ETHUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
BCHUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
XRPUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
EOSUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
LTCUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
TRXUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
ETCUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
LINKUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
XLMUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
ADAUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
XMRUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
DASHUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
ZECUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
XTZUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
BNBUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
ATOMUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
ONTUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
IOTAUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
BATUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
VETUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
NEOUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
QTUMUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
IOSTUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
THETAUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
ALGOUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
ZILUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
KNCUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
ZRXUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
COMPUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
OMGUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
DOGEUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
SXPUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
KAVAUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
BANDUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
RLCUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
WAVESUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
MKRUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
SNXUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
DOTUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
DEFIUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
YFIUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
BALUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
CRVUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
TRBUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
RUNEUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
SUSHIUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
SRMUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
EGLDUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
SOLUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
ICXUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
STORJUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
BLZUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
UNIUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
AVAXUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
FTMUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
HNTUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
ENJUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
FLMUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
TOMOUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
